iter	RMSE
236	1.207508727
237	1.207397561
238	1.207305737
239	1.20721292
240	1.207086951
241	1.206888309
242	1.206765227
243	1.206634596
244	1.206448111
245	1.206319457
246	1.206203361
247	1.2060997
248	1.205991829
249	1.205879439
250	1.205807988
251	1.205686768
252	1.205573511
253	1.205459335
254	1.205360653
255	1.205264755
256	1.205174
257	1.204971936
258	1.204780592
259	1.204640026
260	1.204491598
261	1.204355962
262	1.204208709
263	1.204046304
264	1.203897861
265	1.203789543
266	1.203678406
267	1.203549409
268	1.203461361
269	1.203293863
270	1.203186949
271	1.203051496
272	1.202941583
273	1.202761584
274	1.202626287
275	1.202496983
276	1.202364141
277	1.202244821
278	1.202108385
279	1.201971243
280	1.201836383
281	1.201715244
282	1.201635017
283	1.201599666
284	1.201470352
285	1.201355317
286	1.201247225
287	1.201157005
288	1.201084282
289	1.20098092
290	1.20087812
291	1.200721729
292	1.200609684
293	1.200504513
294	1.200414146
295	1.200310835
296	1.200218508
297	1.200154955
298	1.200085968
299	1.199970819
300	1.199869265
301	1.199806918
302	1.199655794
303	1.199585344
304	1.199491418
305	1.199395645
306	1.199310513
307	1.199203972
308	1.199142881
309	1.19904719
310	1.198936012
311	1.198876958
312	1.19880102
313	1.198698466
314	1.198557281
315	1.198467442
316	1.19841219
317	1.198314122
318	1.198278195
319	1.198152598
320	1.198073778
321	1.197930415
322	1.197799993
323	1.197673033
324	1.197619004
325	1.197541069
326	1.197443169
327	1.197372977
328	1.19728651
329	1.197216286
330	1.197131185
331	1.197045617
332	1.196931949
333	1.196822833
334	1.196763609
335	1.196679186
336	1.196593817
337	1.1965021
338	1.196404078
339	1.196310974
340	1.196231411
341	1.196142408
342	1.196125767
343	1.196026919
344	1.195981247
345	1.195931388
346	1.195861161
347	1.19574215
348	1.195656325
349	1.195613669
350	1.195569652
351	1.195476168
352	1.195374257
353	1.195337681
354	1.195285543
355	1.19518858
356	1.195120756
357	1.195023059
358	1.194978287
359	1.194922953
360	1.194838047
361	1.194745201
362	1.194686001
363	1.194540543
364	1.19449087
365	1.194391502
366	1.19430576
367	1.194185484
368	1.19412244
369	1.194048062
370	1.193934676
371	1.193878626
372	1.193868613
373	1.19379545
374	1.193733067
375	1.193638917
376	1.193540414
377	1.193471815
378	1.193424335
379	1.193318465
380	1.193209264
381	1.193076924
382	1.19298974
383	1.192894084
384	1.192849236
385	1.192812995
386	1.192790956
387	1.192695727
388	1.192630721
389	1.192501359
390	1.192395639
391	1.192307093
392	1.192249171
393	1.192164116
394	1.19210001
395	1.191998445
396	1.191873219
397	1.191751084
398	1.191697827
399	1.191611174
400	1.19150746
401	1.191448994
402	1.191433629
403	1.191427496
404	1.191357101
405	1.191251763
406	1.191200432
407	1.191108907
408	1.191070449
409	1.191031402
410	1.190948668
411	1.190886574
412	1.190876185
413	1.190790379
414	1.190691817
415	1.190673255
416	1.190622314
417	1.190566045
418	1.190551009
419	1.190481496
420	1.190419227
421	1.190371274
422	1.190283287
423	1.190225786
424	1.190167569
425	1.190125804
426	1.190037529
427	1.189951268
428	1.189861438
429	1.189792598
430	1.189746183
431	1.189702778
432	1.189651873
433	1.189608994
434	1.189573457
435	1.189458729
436	1.189349466
437	1.189252657
438	1.189170018
439	1.189071395
440	1.189007772
441	1.188971322
442	1.188926752
443	1.188913464
444	1.188880113
445	1.188813675
446	1.188754742
447	1.188747164
448	1.188706592
449	1.188671179
450	1.188569549
451	1.188488819
452	1.188426229
453	1.188372271
454	1.188294462
455	1.18823207
456	1.188134281
457	1.18804475
458	1.188002623
459	1.187929362
460	1.187830233
461	1.187825256
462	1.187725683
463	1.187687274
464	1.187614963
465	1.187594193
466	1.187519278
467	1.187426415
468	1.187325089
469	1.187286676
470	1.187242525
471	1.187204469
472	1.187187754
473	1.187154763
474	1.187040762
475	1.186948784
476	1.18680566
477	1.186708514
478	1.186638174
479	1.186585866
480	1.186544196
481	1.186477477
482	1.186383845
483	1.186359039
484	1.186312513
485	1.186272702
486	1.186202468
487	1.186187795
488	1.18617464
489	1.186087151
490	1.18604515
491	1.186026156
492	1.185918244
493	1.185814958
494	1.185755103
495	1.185722068
496	1.185590726
497	1.185559352
498	1.185481019
499	1.18541627
500	1.185324724
501	1.185261742
502	1.185218486
503	1.185161476
504	1.185107799
505	1.185030751
506	1.184950454
507	1.184890803
508	1.184874594
509	1.184806423
510	1.184743091
511	1.184648201
512	1.184548351
513	1.184471102
514	1.18438492
515	1.184340864
516	1.184266126
517	1.184214998
518	1.184171674
519	1.18415684
520	1.184092197
521	1.184020577
522	1.183941266
523	1.183852184
524	1.183774086
525	1.183761597
526	1.183714523
527	1.183667246
528	1.183632603
529	1.183535692
530	1.183439234
531	1.183407272
532	1.183352565
533	1.183305528
534	1.183236176
535	1.183130854
536	1.183027259
537	1.182995825
538	1.182904893
539	1.182873283
540	1.182856396
541	1.182779148
542	1.182732045
543	1.182688118
544	1.182617979
545	1.182541913
546	1.182492215
547	1.18240993
548	1.182352785
549	1.182289349
550	1.18224516
551	1.182221757
552	1.182160809
553	1.182075781
554	1.181992438
555	1.181915935
556	1.181845839
557	1.181768864
558	1.18173219
559	1.181609904
560	1.181556552
561	1.181510436
562	1.181466872
563	1.181377246
564	1.181307511
565	1.181298639
566	1.181285838
567	1.181211598
568	1.181167659
569	1.181086745
570	1.181015801
571	1.18096901
572	1.180928113
573	1.180858718
574	1.180785331
575	1.180692455
576	1.180592332
577	1.180582
578	1.180564501
579	1.180470372
580	1.180437734
581	1.180383799
582	1.180299238
583	1.18029067
584	1.180222692
585	1.180116848
586	1.180008675
587	1.179944182
588	1.17993167
589	1.179904439
590	1.179882342
591	1.179804512
592	1.179737681
593	1.179648177
594	1.179595037
595	1.179569426
596	1.179534493
597	1.179516768
598	1.179470909
599	1.179401023
600	1.179331317
601	1.179232028
602	1.179179338
603	1.179160264
604	1.179109179
605	1.179042891
606	1.17894914
607	1.178904816
608	1.178882916
609	1.178815383
610	1.178794438
611	1.178772426
612	1.178654692
613	1.178595834
614	1.178493329
615	1.178479227
616	1.178403568
617	1.178336693
618	1.178276353
619	1.178250507
620	1.178219276
621	1.178136596
622	1.178039523
623	1.177980884
624	1.1778849
625	1.177826641
626	1.177762889
627	1.177670208
628	1.177604988
629	1.177543392
630	1.177510319
631	1.177391995
632	1.177316029
633	1.177239354
634	1.177166748
635	1.17710881
636	1.177034865
637	1.177006507
638	1.176962953
639	1.176849631
640	1.176821339
641	1.176719023
642	1.176632463
643	1.176545093
644	1.176481197
645	1.176420336
646	1.176334029
647	1.176287928
648	1.176215916
649	1.176180496
650	1.176094892
651	1.176058656
652	1.176007458
653	1.175949141
654	1.175866802
655	1.175860176
656	1.175811216
657	1.17578866
658	1.175724397
659	1.175697586
660	1.175615508
661	1.175570922
662	1.175497489
663	1.175493382
664	1.175396045
665	1.175322216
666	1.175255857
667	1.175152968
668	1.175092081
669	1.175069967
670	1.17503541
671	1.174991939
672	1.174973386
673	1.174872043
674	1.174824763
675	1.17480157
676	1.174767528
677	1.174749413
678	1.174732901
679	1.174674485
680	1.174588866
681	1.174494842
682	1.174440878
683	1.174363071
684	1.174309876
685	1.174234135
686	1.17417239
687	1.17410336
688	1.174017806
689	1.173936843
690	1.17389288
691	1.17383269
692	1.173809921
693	1.173770847
694	1.173693876
695	1.173649271
696	1.173575889
697	1.173507822
698	1.173422519
699	1.17335405
700	1.173329564
701	1.173224329
702	1.173159343
703	1.173113402
704	1.173029707
705	1.172971005
706	1.172915962
707	1.17288048
708	1.172814722
709	1.172777191
710	1.172683384
711	1.172636251
712	1.172599206
713	1.172571662
714	1.172480847
715	1.172416272
716	1.172381933
717	1.172353855
718	1.172262599
719	1.172254387
720	1.172202114
721	1.172180705
722	1.172114298
723	1.172034656
724	1.17202185
725	1.171965328
726	1.171903098
727	1.17184124
728	1.171791547
729	1.171700736
730	1.171637713
731	1.171539925
732	1.171528115
733	1.171448319
734	1.171416295
735	1.171344026
736	1.171302336
737	1.171238342
738	1.171201072
739	1.171170158
740	1.171127324
741	1.171083768
742	1.171049115
743	1.170965917
744	1.170934044
745	1.170837903
746	1.170819853
747	1.170797349
748	1.170746153
749	1.170696525
750	1.170680086
751	1.170648629
752	1.170629188
753	1.170617459
754	1.170530155
755	1.17051724
756	1.170514906
757	1.170448
758	1.170432999
759	1.1703423
760	1.170276429
761	1.170236466
762	1.170195296
763	1.170100525
764	1.170074309
765	1.169994788
766	1.169972766
767	1.169891951
768	1.169845967
769	1.169801374
770	1.16970663
771	1.169693199
772	1.169673951
773	1.169609568
774	1.169564812
775	1.169459936
776	1.169412144
777	1.169349017
778	1.1693019
779	1.169264923
780	1.169205863
781	1.169145355
782	1.169098276
783	1.169069338
784	1.16906441
785	1.169025097
786	1.168951216
787	1.168866865
788	1.168767427
789	1.168758312
790	1.168731609
791	1.168691008
792	1.168584149
793	1.168548028
794	1.168449877
795	1.168363767
796	1.168259974
797	1.168204481
798	1.168125152
799	1.168100011
800	1.168025243
801	1.167965075
802	1.167954011
803	1.16792831
804	1.167842353
805	1.167764373
806	1.167709775
807	1.167701784
808	1.16767668
809	1.167612197
810	1.167595825
811	1.167568219
812	1.167478002
813	1.167445754
814	1.167355639
815	1.16728263
816	1.167208582
817	1.167203352
818	1.167131053
819	1.167054704
820	1.166985159
821	1.166889192
822	1.166832322
823	1.166752346
824	1.166704718
825	1.16661622
826	1.16654076
827	1.166474731
828	1.166417942
829	1.166337062
830	1.166324372
831	1.166266647
832	1.166212176
833	1.166118545
834	1.16608298
835	1.16603543
836	1.165979528
837	1.165899813
838	1.165895939
839	1.165818607
840	1.165726241
841	1.165658957
842	1.165631871
843	1.165613062
844	1.165542932
845	1.165481865
846	1.16547011
847	1.165421136
848	1.165335511
849	1.165252517
850	1.165168186
851	1.165097099
852	1.165007014
853	1.164976583
854	1.164897903
855	1.164837757
856	1.164802029
857	1.16477574
858	1.164693786
859	1.164627965
860	1.164566733
861	1.164488549
862	1.164472741
863	1.164399974
864	1.164350793
865	1.164291878
866	1.164284155
867	1.164230942
868	1.164220882
869	1.164165058
870	1.164067239
871	1.164002767
872	1.163977502
873	1.163910468
874	1.163842398
875	1.163834721
876	1.163789857
877	1.163757746
878	1.163741589
879	1.163706179
880	1.163689492
881	1.16361865
882	1.163565689
883	1.163454768
884	1.16334367
885	1.16331755
886	1.163234214
887	1.16319859
888	1.163135812
889	1.163057416
890	1.163023167
891	1.16299154
892	1.162898767
893	1.162800882
894	1.162759595
895	1.162703312
896	1.162630324
897	1.162620745
898	1.162528283
899	1.162521798
900	1.162451308
901	1.162389436
902	1.162321117
903	1.162270021
904	1.162158104
905	1.162045235
906	1.161999476
907	1.161993945
908	1.16191096
909	1.161909338
910	1.161856678
911	1.161841981
912	1.161820742
913	1.161723897
914	1.161661515
915	1.161615487
916	1.161501406
917	1.16143174
918	1.161359078
919	1.161297679
920	1.161206465
921	1.161135057
922	1.161083861
923	1.161024935
924	1.160954007
925	1.160887204
926	1.160819633
927	1.160741752
928	1.160668606
929	1.160652202
930	1.160619806
931	1.160561403
932	1.160472438
933	1.160395568
934	1.160349906
935	1.160283224
936	1.160223719
937	1.160183058
938	1.160081459
939	1.15998633
940	1.159925003
941	1.159846565
942	1.159834222
943	1.159775365
944	1.159679196
945	1.159615121
946	1.159567602
947	1.159468036
948	1.159430025
949	1.159411981
950	1.159351297
951	1.159270147
952	1.159188372
953	1.159072124
954	1.159011555
955	1.158953503
956	1.158877651
957	1.158776893
958	1.158742391
959	1.15865973
960	1.158552182
961	1.158550772
962	1.158474032
963	1.158459225
964	1.158393898
965	1.158348968
966	1.158288635
967	1.15828599
968	1.158217238
969	1.158157231
970	1.158080199
971	1.158009461
972	1.157988945
973	1.157959163
974	1.157895508
975	1.15782839
976	1.157789398
977	1.157696267
978	1.157667267
979	1.157612035
980	1.157546828
981	1.157476957
982	1.157401974
983	1.157390065
984	1.157349695
985	1.15729429
986	1.15725608
987	1.157154687
988	1.157085234
989	1.157019954
990	1.156947187
991	1.156879956
992	1.156853433
993	1.156777863
994	1.156753653
995	1.156714971
996	1.156628882
997	1.156561292
998	1.156458302
999	1.156418078
